Country,Bulk,Price
AE,ANL,0.0138
AE,BSD,0.02
AE,Gamma,0.014
AE,GoldenStreet,0.016
AE,Itrack,0.03
AE,Mobitouch,0.018
AE,Sinfus,0.0136
BE,ANL,0.022
BE,BSD,0.03
BE,Gamma,0.027
BE,GoldenStreet,0.025
BE,Itrack,0.025
BE,Mobitouch,0.023
BE,Sinfus,0.019
BH,ANL,0.045
BH,BSD,0.05
BH,Gamma,0.045
BH,GoldenStreet,0.039
BH,Itrack,0.047
BH,Mobitouch,0.042
BH,Sinfus,0.038
CA,ANL,0.019
CA,BSD,0.02
CA,Gamma,0.012
CA,GoldenStreet,0.011
CA,Itrack,0.015
CA,Mobitouch,0.013
CA,Sinfus,0.017
CH,ANL,0.022
CH,BSD,0.023
CH,Gamma,0.03
CH,GoldenStreet,0.019
CH,Itrack,0.025
CH,Mobitouch,0.024
CH,Sinfus,0.024
IE,ANL,0.027
IE,BSD,0.04
IE,Gamma,0.03
IE,GoldenStreet,0.019
IE,Itrack,0.035
IE,Mobitouch,0.025
IE,Sinfus,0.024
SA,ANL,0.0156
SA,BSD,0.031
SA,Gamma,0.016
SA,GoldenStreet,0.016
SA,Itrack,0.035
SA,Mobitouch,0.02
SA,Sinfus,0.015
